GroupId,GroupName,GroupDescription,ID,Shortname,LongName,Description
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5102,CLKIF,Cic_Layer_bacK_Interior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5103,CLKET,Cic_Layer_bacK_Edge_Top,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5104,CLKETF,Cic_Layer_bacK_Edge_Top_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5105,CLKEB,Cic_Layer_bacK_Edge_Bottom,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5106,CLKEBF,Cic_Layer_bacK_Edge_Bottom_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5107,CLKEL,Cic_Layer_bacK_Edge_Left,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5108,CLKELF,Cic_Layer_bacK_Edge_Left_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5109,CLKER,Cic_Layer_bacK_Edge_Right,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5110,CLKERF,Cic_Layer_bacK_Edge_Right_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5111,CLCE,Cic_Layer_Ctop_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5112,CLCEF,Cic_Layer_Ctop_Exterior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5113,CLCI,Cic_Layer_Ctop_Interior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5114,CLCIF,Cic_Layer_Ctop_Interior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5115,CLCEB,Cic_Layer_Ctop_Edge_Back,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5116,CLCEBF,Cic_Layer_Ctop_Edge_Back_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5117,CLCEL,Cic_Layer_Ctop_Edge_Left,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5118,CLCELF,Cic_Layer_Ctop_Edge_Left_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5119,CLCER,Cic_Layer_Ctop_Edge_Right,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5120,CLCERF,Cic_Layer_Ctop_Edge_Right_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5121,CLTE,Cic_Layer_Toekick_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5122,CLTEF,Cic_Layer_Toekick_Exterior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5123,CLTI,Cic_Layer_Toekick_Interior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5124,CLTIF,Cic_Layer_Toekick_Interior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5125,CLTEFR,Cic_Layer_Toekick_Edge_FRont,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5126,CLTEFF,Cic_Layer_Toekick_Edge_Front_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5127,CLTEB,Cic_Layer_Toekick_Edge_Back,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5128,CLTEBF,Cic_Layer_Toekick_Edge_Back_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5129,CLTEL,Cic_Layer_Toekick_Edge_Left,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5130,CLTELF,Cic_Layer_Toekick_Edge_Left_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5131,CLTER,Cic_Layer_Toekick_Edge_Right,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5132,CLTERF,Cic_Layer_Toekick_Edge_Right_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5133,CLSE,Cic_Layer_Shelf_Exterior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5134,CLSI,Cic_Layer_Shelf_Interior,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5135,CLSIF,Cic_Layer_Shelf_Interior_Finish,Used in 2020 Design Database for CiC
6,Design,Positioning of cabinets and counter measurements for 20-20 DESIGN program.,5136,CLSEL,Cic_Layer_Shelf_Edge_Left,Used in 2020 Design Database for CiC
